date,steps,distance,runDistance,calories
2018-12-17,213,139,66,10
2018-12-18,5082,3685,83,123
2018-12-19,19235,13730,284,451
2018-12-20,3230,2372,98,85
2018-12-21,1310,1001,35,40
2018-12-22,12889,9433,439,319
2018-12-23,3922,2804,84,98
2018-12-24,26605,19468,536,660
2018-12-25,8963,6357,1294,223
2018-12-26,7448,5141,434,179
2018-12-27,2152,1609,14,59
2018-12-28,16784,11705,311,386
2018-12-29,1000,654,48,22
2018-12-30,2854,1967,129,70
2018-12-31,5029,3476,181,116
2019-01-01,6965,4602,384,154
2019-01-02,9722,6383,492,214
2019-01-03,6756,4614,278,151
2019-01-04,11722,8556,323,298
2019-01-05,12890,8870,434,293
2019-01-06,16754,12318,481,445
2019-01-07,11959,8743,379,311
2019-01-08,16273,11730,282,392
2019-01-09,11269,8162,311,284
2019-01-10,16112,11672,334,403
2019-01-11,14501,10358,286,343
2019-01-12,9322,6795,195,228
2019-01-13,8205,5924,219,200
2019-01-14,10610,7553,273,253
2019-01-15,15434,11063,551,373
2019-01-16,17806,13348,296,482
2019-01-17,15221,10890,304,374
2019-01-18,12251,8460,382,278
2019-01-19,8768,6194,407,214
2019-01-20,1161,759,167,33
2019-01-21,4004,2875,209,107
2019-01-22,11757,8457,507,291
2019-01-23,14827,10511,317,342
2019-01-24,18469,13175,364,441
2019-01-25,2507,1791,63,64
2019-01-26,15627,10791,852,347
2019-01-27,1146,749,116,32
2019-01-28,16107,11250,736,382
2019-01-29,12613,8963,599,304
2019-01-30,10235,7545,423,268
2019-01-31,14262,10651,506,366
2019-02-01,13266,9520,647,337
2019-02-02,3417,2571,90,94
2019-02-03,4199,3037,106,106
2019-02-04,5731,3755,196,125
2019-02-05,12495,8953,411,301
2019-02-06,10278,7675,480,286
2019-02-07,13227,9400,702,322
2019-02-08,18184,13141,629,445
2019-02-09,1287,847,55,30
2019-02-10,16830,12085,1744,423
2019-02-11,13246,9448,452,325
2019-02-12,10168,7382,490,252
2019-02-13,11581,8500,1206,317
2019-02-14,10855,7712,242,258
2019-02-15,13906,9804,218,322
2019-02-16,1373,924,129,35
2019-02-17,3047,2194,111,81
2019-02-18,12728,9319,411,317
2019-02-19,16210,11815,817,407
2019-02-20,13917,10310,499,366
2019-02-21,10414,7344,515,252
2019-02-22,16404,12219,400,438
2019-02-23,2157,1411,207,53
2019-02-24,1966,1475,75,56
2019-02-25,11110,8164,462,284
2019-02-26,11407,8192,430,279
2019-02-27,9297,6709,983,245
2019-02-28,20415,15065,490,515
2019-03-01,16928,12387,467,440
2019-03-02,1963,1414,54,52
2019-03-03,933,610,110,28
2019-03-04,13832,10281,316,364
2019-03-05,13993,9953,651,339
2019-03-06,11354,8291,355,288
2019-03-07,16848,12030,473,399
2019-03-08,16275,11436,546,375
2019-03-09,692,453,129,23
2019-03-10,5124,3533,132,120
2019-03-11,16330,11752,508,410
2019-03-12,17790,12810,503,431
2019-03-13,12580,9107,744,320
2019-03-14,10864,7816,320,269
2019-03-15,17055,12302,391,419
2019-03-16,19318,13789,683,467
2019-03-17,2473,1791,137,68
2019-03-18,2269,1577,170,63
2019-03-19,14306,10309,464,349
2019-03-20,12252,9132,301,332
2019-03-21,15261,10931,430,369
2019-03-22,16833,12247,545,430
2019-03-23,750,490,137,23
2019-03-24,4405,3221,174,125
2019-03-25,12085,8759,586,308
